Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
32,7,0,0,-24,123,0,0
32,8,0,0,-10,132,-26,0
33,1,0,4,-9,120,-29,0
33,2,0,0,0,162,0,0
33,3,0,0,-17,140,-4,0
33,4,0,0,0,163,-5,0
33,5,0,0,-18,127,-18,0
33,6,0,0,-10,158,0,0
33,7,0,0,-14,118,-29,0
33,8,0,0,-6,98,0,0
34,1,0,0,-22,141,-4,0
34,2,0,0,-19,97,0,0
34,3,0,0,-12,138,-15,0
34,4,0,0,-14,148,0,0
34,5,0,0,-23,139,0,0
34,6,0,0,0,157,-5,0
34,7,0,0,-11,123,-4,0
34,8,0,3,-13,99,0,0
35,1,0,0,-9,150,-9,0
35,2,0,0,-16,102,0,0
35,3,0,2,-18,144,-4,0
35,4,0,0,0,153,-9,0
35,5,0,0,-21,139,-8,0
35,6,0,0,0,170,0,0
35,7,0,0,0,128,-11,0
35,8,0,0,-17,102,0,0
36,1,0,2,-15,131,-11,0
36,2,0,0,-14,148,0,0
36,3,0,0,-9,149,-4,0
36,4,0,0,0,163,-5,0
36,5,0,0,-4,148,-16,0
36,6,0,0,0,163,-5,0
36,7,0,0,-5,152,-5,0
36,8,0,2,0,141,0,0
37,1,0,0,-4,141,-15,0
37,2,0,0,-5,157,0,0
37,3,0,0,-4,152,-4,0
37,4,0,0,-14,153,0,0
37,5,0,0,-5,158,-5,0
37,6,0,0,-15,132,-15,0
37,7,0,0,0,157,-5,0
37,8,0,0,-7,122,-4,0
38,1,0,0,-14,133,-21,0
38,2,0,0,0,159,-9,0
38,3,0,0,-14,153,0,0
38,4,0,0,0,157,-5,0
38,5,0,0,0,152,-16,0
38,6,0,0,-10,158,0,0
38,7,0,0,0,146,-16,0
38,8,0,0,-16,111,-13,0
39,1,0,0,-20,136,-12,0
39,2,0,0,0,162,0,0
39,3,0,0,-28,140,0,0
39,4,0,0,-4,149,-9,0
39,5,0,0,-10,159,0,0
39,6,0,0,-8,141,-12,0
39,7,0,0,-5,157,0,0
39,8,0,0,0,130,-11,0
40,1,0,2,-8,124,0,0
40,2,0,0,-18,144,0,0
40,3,0,0,-23,139,0,0
40,4,0,0,-18,143,0,0
40,5,0,0,0,153,0,0
40,6,0,0,-23,139,0,0
40,7,0,0,-23,139,0,0
40,8,0,0,-10,121,-16,0
41,1,0,7,-22,137,0,0
41,2,0,0,0,162,0,0
41,3,0,0,-18,144,0,0
41,4,0,0,0,168,0,0
41,5,0,0,-23,144,0,0
41,6,0,0,0,161,0,0
41,7,0,7,-22,134,0,0
41,8,0,0,-3,99,-3,0
42,1,0,0,-16,135,-12,0
42,2,0,0,-3,100,-3,0
42,3,0,0,-12,137,-12,0
42,4,0,0,0,157,-5,0
42,5,0,0,-6,130,-26,0
42,6,0,0,-5,158,-5,0
42,7,0,0,-8,148,-13,0
42,8,0,0,-5,152,-5,0
43,1,0,0,-4,137,-11,0
43,2,0,0,-11,105,-21,0
43,3,0,0,-8,144,-16,0
43,4,0,0,-20,122,-20,0
43,5,0,0,-5,158,-5,0
43,6,0,0,-5,156,0,0
43,7,0,0,0,150,-12,0
43,8,0,0,-5,153,-5,0
44,1,0,2,0,155,-5,0
44,2,0,0,-14,148,0,0
44,3,0,0,0,156,-13,0
