chipId,name,value
0,lane_to_serdes_map_fabric_lane81,rx161:tx164
0,lane_to_serdes_map_fabric_lane82,rx162:tx165
0,lane_to_serdes_map_fabric_lane83,rx163:tx166
0,lane_to_serdes_map_fabric_lane336,rx164:tx163
0,lane_to_serdes_map_fabric_lane337,rx165:tx160
0,lane_to_serdes_map_fabric_lane338,rx166:tx161
0,lane_to_serdes_map_fabric_lane339,rx167:tx162
0,lane_to_serdes_map_fabric_lane84,rx168:tx175
0,lane_to_serdes_map_fabric_lane85,rx169:tx172
0,lane_to_serdes_map_fabric_lane86,rx170:tx173
0,lane_to_serdes_map_fabric_lane87,rx171:tx174
0,lane_to_serdes_map_fabric_lane340,rx172:tx171
0,lane_to_serdes_map_fabric_lane341,rx173:tx168
0,lane_to_serdes_map_fabric_lane342,rx174:tx169
0,lane_to_serdes_map_fabric_lane343,rx175:tx170
0,lane_to_serdes_map_fabric_lane88,rx176:tx180
0,lane_to_serdes_map_fabric_lane89,rx177:tx181
0,lane_to_serdes_map_fabric_lane90,rx178:tx182
0,lane_to_serdes_map_fabric_lane91,rx179:tx183
0,lane_to_serdes_map_fabric_lane344,rx180:tx176
0,lane_to_serdes_map_fabric_lane345,rx181:tx177
0,lane_to_serdes_map_fabric_lane346,rx182:tx178
0,lane_to_serdes_map_fabric_lane347,rx183:tx179
0,lane_to_serdes_map_fabric_lane92,rx184:tx188
0,lane_to_serdes_map_fabric_lane93,rx185:tx189
0,lane_to_serdes_map_fabric_lane94,rx186:tx190
0,lane_to_serdes_map_fabric_lane95,rx187:tx191
0,lane_to_serdes_map_fabric_lane348,rx188:tx184
0,lane_to_serdes_map_fabric_lane349,rx189:tx185
0,lane_to_serdes_map_fabric_lane350,rx190:tx186
0,lane_to_serdes_map_fabric_lane351,rx191:tx187
0,lane_to_serdes_map_fabric_lane96,rx192:tx199
0,lane_to_serdes_map_fabric_lane97,rx193:tx196
0,lane_to_serdes_map_fabric_lane98,rx194:tx197
0,lane_to_serdes_map_fabric_lane99,rx195:tx198
0,lane_to_serdes_map_fabric_lane352,rx196:tx195
0,lane_to_serdes_map_fabric_lane353,rx197:tx192
0,lane_to_serdes_map_fabric_lane354,rx198:tx193
0,lane_to_serdes_map_fabric_lane355,rx199:tx194
0,lane_to_serdes_map_fabric_lane100,rx200:tx207
0,lane_to_serdes_map_fabric_lane101,rx201:tx204
0,lane_to_serdes_map_fabric_lane102,rx202:tx205
0,lane_to_serdes_map_fabric_lane103,rx203:tx206
0,lane_to_serdes_map_fabric_lane356,rx204:tx203
0,lane_to_serdes_map_fabric_lane357,rx205:tx200
0,lane_to_serdes_map_fabric_lane358,rx206:tx201
0,lane_to_serdes_map_fabric_lane359,rx207:tx202
0,lane_to_serdes_map_fabric_lane104,rx208:tx212
0,lane_to_serdes_map_fabric_lane105,rx209:tx213
0,lane_to_serdes_map_fabric_lane106,rx210:tx214
0,lane_to_serdes_map_fabric_lane107,rx211:tx215
0,lane_to_serdes_map_fabric_lane360,rx212:tx208
0,lane_to_serdes_map_fabric_lane361,rx213:tx209
0,lane_to_serdes_map_fabric_lane362,rx214:tx210
0,lane_to_serdes_map_fabric_lane363,rx215:tx211
0,lane_to_serdes_map_fabric_lane108,rx216:tx220
0,lane_to_serdes_map_fabric_lane109,rx217:tx221
0,lane_to_serdes_map_fabric_lane110,rx218:tx222
0,lane_to_serdes_map_fabric_lane111,rx219:tx223
0,lane_to_serdes_map_fabric_lane364,rx220:tx216
0,lane_to_serdes_map_fabric_lane365,rx221:tx217
0,lane_to_serdes_map_fabric_lane366,rx222:tx218
0,lane_to_serdes_map_fabric_lane367,rx223:tx219
0,lane_to_serdes_map_fabric_lane112,rx224:tx225
0,lane_to_serdes_map_fabric_lane113,rx225:tx224
0,lane_to_serdes_map_fabric_lane114,rx230:tx231
0,lane_to_serdes_map_fabric_lane115,rx231:tx230
0,lane_to_serdes_map_fabric_lane368,rx228:tx229
0,lane_to_serdes_map_fabric_lane369,rx229:tx228
0,lane_to_serdes_map_fabric_lane370,rx226:tx227
0,lane_to_serdes_map_fabric_lane371,rx227:tx226
0,lane_to_serdes_map_fabric_lane116,rx236:tx237
0,lane_to_serdes_map_fabric_lane117,rx237:tx236
0,lane_to_serdes_map_fabric_lane118,rx234:tx235
0,lane_to_serdes_map_fabric_lane119,rx235:tx234
0,lane_to_serdes_map_fabric_lane372,rx232:tx233
0,lane_to_serdes_map_fabric_lane373,rx233:tx232
0,lane_to_serdes_map_fabric_lane374,rx238:tx239
0,lane_to_serdes_map_fabric_lane375,rx239:tx238
0,lane_to_serdes_map_fabric_lane120,rx240:tx240
0,lane_to_serdes_map_fabric_lane121,rx241:tx241
0,lane_to_serdes_map_fabric_lane122,rx246:tx246
0,lane_to_serdes_map_fabric_lane123,rx247:tx247
0,lane_to_serdes_map_fabric_lane376,rx244:tx244
0,lane_to_serdes_map_fabric_lane377,rx245:tx245
0,lane_to_serdes_map_fabric_lane378,rx242:tx242
0,lane_to_serdes_map_fabric_lane379,rx243:tx243
0,lane_to_serdes_map_fabric_lane124,rx252:tx252
0,lane_to_serdes_map_fabric_lane125,rx253:tx253
0,lane_to_serdes_map_fabric_lane126,rx250:tx250
0,lane_to_serdes_map_fabric_lane127,rx251:tx251
0,lane_to_serdes_map_fabric_lane380,rx248:tx248
0,lane_to_serdes_map_fabric_lane381,rx249:tx249
0,lane_to_serdes_map_fabric_lane382,rx254:tx254
0,lane_to_serdes_map_fabric_lane383,rx255:tx255
0,lane_to_serdes_map_fabric_lane128,rx256:tx257
0,lane_to_serdes_map_fabric_lane129,rx257:tx256
0,lane_to_serdes_map_fabric_lane130,rx262:tx263
0,lane_to_serdes_map_fabric_lane131,rx263:tx262
0,lane_to_serdes_map_fabric_lane384,rx260:tx261
0,lane_to_serdes_map_fabric_lane385,rx261:tx260
0,lane_to_serdes_map_fabric_lane386,rx258:tx259
0,lane_to_serdes_map_fabric_lane387,rx259:tx258
0,lane_to_serdes_map_fabric_lane132,rx268:tx269
0,lane_to_serdes_map_fabric_lane133,rx269:tx268
0,lane_to_serdes_map_fabric_lane134,rx266:tx267
0,lane_to_serdes_map_fabric_lane135,rx267:tx266
0,lane_to_serdes_map_fabric_lane388,rx264:tx265
0,lane_to_serdes_map_fabric_lane389,rx265:tx264
0,lane_to_serdes_map_fabric_lane390,rx270:tx271
0,lane_to_serdes_map_fabric_lane391,rx271:tx270
0,lane_to_serdes_map_fabric_lane136,rx272:tx272
0,lane_to_serdes_map_fabric_lane137,rx273:tx273
0,lane_to_serdes_map_fabric_lane138,rx278:tx278
0,lane_to_serdes_map_fabric_lane139,rx279:tx279
0,lane_to_serdes_map_fabric_lane392,rx276:tx276
0,lane_to_serdes_map_fabric_lane393,rx277:tx277
0,lane_to_serdes_map_fabric_lane394,rx274:tx274
0,lane_to_serdes_map_fabric_lane395,rx275:tx275
0,lane_to_serdes_map_fabric_lane140,rx284:tx284
0,lane_to_serdes_map_fabric_lane141,rx285:tx285
0,lane_to_serdes_map_fabric_lane142,rx282:tx282
0,lane_to_serdes_map_fabric_lane143,rx283:tx283
0,lane_to_serdes_map_fabric_lane396,rx280:tx280
0,lane_to_serdes_map_fabric_lane397,rx281:tx281
0,lane_to_serdes_map_fabric_lane398,rx286:tx286
0,lane_to_serdes_map_fabric_lane399,rx287:tx287
0,lane_to_serdes_map_fabric_lane144,rx288:tx295
0,lane_to_serdes_map_fabric_lane145,rx289:tx292
0,lane_to_serdes_map_fabric_lane146,rx290:tx293
0,lane_to_serdes_map_fabric_lane147,rx291:tx294
0,lane_to_serdes_map_fabric_lane400,rx292:tx291
0,lane_to_serdes_map_fabric_lane401,rx293:tx288
0,lane_to_serdes_map_fabric_lane402,rx294:tx289
0,lane_to_serdes_map_fabric_lane403,rx295:tx290
0,lane_to_serdes_map_fabric_lane148,rx296:tx303
0,lane_to_serdes_map_fabric_lane149,rx297:tx300
0,lane_to_serdes_map_fabric_lane150,rx298:tx301
0,lane_to_serdes_map_fabric_lane151,rx299:tx302
0,lane_to_serdes_map_fabric_lane404,rx300:tx299
0,lane_to_serdes_map_fabric_lane405,rx301:tx296
0,lane_to_serdes_map_fabric_lane406,rx302:tx297
0,lane_to_serdes_map_fabric_lane407,rx303:tx298
0,lane_to_serdes_map_fabric_lane152,rx304:tx308
0,lane_to_serdes_map_fabric_lane153,rx305:tx309
0,lane_to_serdes_map_fabric_lane154,rx306:tx310
0,lane_to_serdes_map_fabric_lane155,rx307:tx311
0,lane_to_serdes_map_fabric_lane408,rx308:tx304
0,lane_to_serdes_map_fabric_lane409,rx309:tx305
0,lane_to_serdes_map_fabric_lane410,rx310:tx306
0,lane_to_serdes_map_fabric_lane411,rx311:tx307
0,lane_to_serdes_map_fabric_lane156,rx312:tx316
0,lane_to_serdes_map_fabric_lane157,rx313:tx317
0,lane_to_serdes_map_fabric_lane158,rx314:tx318
0,lane_to_serdes_map_fabric_lane159,rx315:tx319
0,lane_to_serdes_map_fabric_lane412,rx316:tx312
0,lane_to_serdes_map_fabric_lane413,rx317:tx313
0,lane_to_serdes_map_fabric_lane414,rx318:tx314
0,lane_to_serdes_map_fabric_lane415,rx319:tx315
0,lane_to_serdes_map_fabric_lane160,rx320:tx327
0,lane_to_serdes_map_fabric_lane161,rx321:tx324
0,lane_to_serdes_map_fabric_lane162,rx322:tx325
