Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID
2050,2,fab1/122/3,36-37-41-42,,,2
254,254,fab1/122/4,36-37-41-42,,,0
2308,260,fab1/122/5,36-37-41-42,,,3
504,504,fab1/122/6,36-37-41-42,,,1
2054,6,fab1/122/7,36-37-41-42,,,2
250,250,fab1/122/8,36-37-41-42,,,0
2313,265,fab1/123/1,36-37-41-42,,,3
501,501,fab1/123/2,36-37-41-42,,,1
2059,11,fab1/123/3,36-37-41-42,,,2
247,247,fab1/123/4,36-37-41-42,,,0
2317,269,fab1/123/5,36-37-41-42,,,3
497,497,fab1/123/6,36-37-41-42,,,1
2063,15,fab1/123/7,36-37-41-42,,,2
243,243,fab1/123/8,36-37-41-42,,,0
2305,257,fab1/124/1,36-37-41-42,,,3
509,509,fab1/124/2,36-37-41-42,,,1
2051,3,fab1/124/3,36-37-41-42,,,2
255,255,fab1/124/4,36-37-41-42,,,0
2309,261,fab1/124/5,36-37-41-42,,,3
505,505,fab1/124/6,36-37-41-42,,,1
2055,7,fab1/124/7,36-37-41-42,,,2
251,251,fab1/124/8,36-37-41-42,,,0
2060,12,fab1/125/1,36-37-41-42,,,2
240,240,fab1/125/2,36-37-41-42,,,0
2318,270,fab1/125/3,36-37-41-42,,,3
498,498,fab1/125/4,36-37-41-42,,,1
2056,8,fab1/125/5,36-37-41-42,,,2
244,244,fab1/125/6,36-37-41-42,,,0
2314,266,fab1/125/7,36-37-41-42,,,3
502,502,fab1/125/8,36-37-41-42,,,1
2052,4,fab1/126/1,36-37-41-42,,,2
248,248,fab1/126/2,36-37-41-42,,,0
2310,262,fab1/126/3,36-37-41-42,,,3
506,506,fab1/126/4,36-37-41-42,,,1
2048,0,fab1/126/5,36-37-41-42,,,2
252,252,fab1/126/6,36-37-41-42,,,0
2306,258,fab1/126/7,36-37-41-42,,,3
510,510,fab1/126/8,36-37-41-42,,,1
2061,13,fab1/127/1,36-37-41-42,,,2
241,241,fab1/127/2,36-37-41-42,,,0
2319,271,fab1/127/3,36-37-41-42,,,3
499,499,fab1/127/4,36-37-41-42,,,1
2057,9,fab1/127/5,36-37-41-42,,,2
245,245,fab1/127/6,36-37-41-42,,,0
2315,267,fab1/127/7,36-37-41-42,,,3
503,503,fab1/127/8,36-37-41-42,,,1
2053,5,fab1/128/1,36-37-41-42,,,2
249,249,fab1/128/2,36-37-41-42,,,0
2311,263,fab1/128/3,36-37-41-42,,,3
507,507,fab1/128/4,36-37-41-42,,,1
2049,1,fab1/128/5,36-37-41-42,,,2
253,253,fab1/128/6,36-37-41-42,,,0
2307,259,fab1/128/7,36-37-41-42,,,3
511,511,fab1/128/8,36-37-41-42,,,1
