TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
41,1 2 3 4,1,41,CPLD,/run/devmap/xcvrs/xcvr_ctrl_41/xcvr41_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_41/xcvr41_present,1,0,41,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH0,81,/sys/class/leds/port41_led1:blue:status,/sys/class/leds/port41_led1:yellow:status
41,1 2 3 4,1,41,CPLD,/run/devmap/xcvrs/xcvr_ctrl_41/xcvr41_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_41/xcvr41_present,1,0,41,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH0,82,/sys/class/leds/port41_led2:blue:status,/sys/class/leds/port41_led2:yellow:status
42,1 2 3 4,1,42,CPLD,/run/devmap/xcvrs/xcvr_ctrl_42/xcvr42_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_42/xcvr42_present,1,0,42,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH1,83,/sys/class/leds/port42_led1:blue:status,/sys/class/leds/port42_led1:yellow:status
42,1 2 3 4,1,42,CPLD,/run/devmap/xcvrs/xcvr_ctrl_42/xcvr42_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_42/xcvr42_present,1,0,42,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH1,84,/sys/class/leds/port42_led2:blue:status,/sys/class/leds/port42_led2:yellow:status
43,1 2 3 4,1,43,CPLD,/run/devmap/xcvrs/xcvr_ctrl_43/xcvr43_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_43/xcvr43_present,1,0,43,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH2,85,/sys/class/leds/port43_led1:blue:status,/sys/class/leds/port43_led1:yellow:status
43,1 2 3 4,1,43,CPLD,/run/devmap/xcvrs/xcvr_ctrl_43/xcvr43_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_43/xcvr43_present,1,0,43,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH2,86,/sys/class/leds/port43_led2:blue:status,/sys/class/leds/port43_led2:yellow:status
44,1 2 3 4,1,44,CPLD,/run/devmap/xcvrs/xcvr_ctrl_44/xcvr44_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_44/xcvr44_present,1,0,44,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH3,87,/sys/class/leds/port44_led1:blue:status,/sys/class/leds/port44_led1:yellow:status
44,1 2 3 4,1,44,CPLD,/run/devmap/xcvrs/xcvr_ctrl_44/xcvr44_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_44/xcvr44_present,1,0,44,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH3,88,/sys/class/leds/port44_led2:blue:status,/sys/class/leds/port44_led2:yellow:status
45,1 2 3 4,1,45,CPLD,/run/devmap/xcvrs/xcvr_ctrl_45/xcvr45_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_45/xcvr45_present,1,0,45,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH4,89,/sys/class/leds/port45_led1:blue:status,/sys/class/leds/port45_led1:yellow:status
45,1 2 3 4,1,45,CPLD,/run/devmap/xcvrs/xcvr_ctrl_45/xcvr45_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_45/xcvr45_present,1,0,45,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH4,90,/sys/class/leds/port45_led2:blue:status,/sys/class/leds/port45_led2:yellow:status
46,1 2 3 4,1,46,CPLD,/run/devmap/xcvrs/xcvr_ctrl_46/xcvr46_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_46/xcvr46_present,1,0,46,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH5,91,/sys/class/leds/port46_led1:blue:status,/sys/class/leds/port46_led1:yellow:status
46,1 2 3 4,1,46,CPLD,/run/devmap/xcvrs/xcvr_ctrl_46/xcvr46_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_46/xcvr46_present,1,0,46,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH5,92,/sys/class/leds/port46_led2:blue:status,/sys/class/leds/port46_led2:yellow:status
